ID,Fecha,Numero de Proceso,Accion/Infraccion,Detalle
1,16/05/2024,09501202400280,EXCEPCIONES A LA COACTIVA,folder_open
2,09/05/2024,01333202404959,PRESCRIPCIÓN EXTRAORDINARIA ADQUISITIVA DE DOMINIO,folder_open
3,05/04/2024,09501202400217,RECURSO DE QUEJA,folder_open
4,15/03/2024,09100202400008,NULIDAD DE LAUDO ARBITRAL ART. 31 LAM,folder_open
5,12/03/2024,09501202400188,CONTRA RESOLUCIONES,folder_open
6,22/12/2023,09501202300562,RECURSO DE QUEJA,folder_open
7,19/12/2023,09332202321278,FACTURAS O DOCUMENTOS ART. 356 NUM.2,folder_open
8,12/12/2023,10333202303971,PRESCRIPCIÓN EXTRAORDINARIA ADQUISITIVA DE DOMINIO,folder_open
9,26/10/2023,03332202300439,PRESCRIPCIÓN EXTRAORDINARIA ADQUISITIVA DE DOMINIO,folder_open
10,18/10/2023,01333202310223,PRESCRIPCIÓN EXTRAORDINARIA ADQUISITIVA DE DOMINIO,folder_open
11,14/04/2023,09100202300010,NULIDAD DE LAUDO ARBITRAL ART. 31 LAM,folder_open
12,03/04/2023,09501202300121,CONTRA ACTOS ADMINISTRATIVOS DE DETERMINACIÓN TRIBUTARIA,folder_open
13,16/02/2023,09332202302799,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
14,29/12/2022,09285202203181,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6",folder_open
15,22/12/2022,17230202222623,EJECUCIÓN DE ACTA DE MEDIACIÓN,folder_open
16,22/12/2022,17230202222621,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
17,22/12/2022,09332202220229,EJECUCIÓN DE ACTA DE MEDIACIÓN,folder_open
18,23/11/2022,09332202218204,PRESCRIPCIÓN EXTRAORDINARIA ADQUISITIVA DE DOMINIO,folder_open
19,29/09/2022,09501202200452,RECURSO DE QUEJA,folder_open
20,19/09/2022,09100202200020,NULIDAD DE LAUDO ARBITRAL ART. 31 LAM,folder_open
21,14/07/2022,09332202209971,"COBRO DE FACTURAS POR BIENES Y SERVICIOS, HONORARIOS PROFESIONALES CUANDO LA PRETENSIÓN NO SEA EXIGIBLE EN PROCEDIMIENTO MONITORIO O EN VIA EJECUTIVA",folder_open
22,28/04/2022,09332202205717,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
23,25/04/2022,09802202200492,SUBJETIVO,folder_open
24,25/04/2022,09501202200209,CONTRA ACTOS ADMINISTRATIVOS POR SILENCIO ADMINISTRATIVO,folder_open
25,26/10/2021,09501202100546,CONTRA RESOLUCIONES,folder_open
26,26/10/2021,09501202100545,EXCEPCIONES A LA COACTIVA,folder_open
27,23/09/2021,09501202100479,CONTRA RESOLUCIONES,folder_open
28,22/09/2021,09501202100476,RECURSO DE QUEJA,folder_open
29,22/09/2021,09501202100475,RECURSO DE QUEJA,folder_open
30,22/09/2021,09501202100474,EXCEPCIONES A LA COACTIVA ART. 316 NUM. 10 COGEP,folder_open
31,22/09/2021,09501202100473,EXCEPCIONES A LA COACTIVA ART. 316 NUM. 10 COGEP,folder_open
32,22/09/2021,09501202100471,RECURSO DE QUEJA,folder_open
33,17/09/2021,09332202112117,RECUSACIÓN,folder_open
34,07/09/2021,09501202100444,CONTRA RESOLUCIONES,folder_open
35,06/09/2021,17230202115273,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
36,06/09/2021,17230202115272,EJECUCIÓN DE ACTA DE MEDIACIÓN,folder_open
37,19/08/2021,09332202110592,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
38,01/07/2021,10333202101325,EJECUCIÓN DE ACTA DE TRANSACCIÓN,folder_open
39,03/06/2021,10333202101109,EJECUCIÓN DE ACTA DE TRANSACCIÓN,folder_open
40,20/05/2021,09332202105935,LAS ORDENADAS POR LEY ART. 347 #8,folder_open
41,29/03/2021,17510202100152,CONTRA ACTOS ADMINISTRATIVOS DE DETERMINACIÓN TRIBUTARIA,folder_open
42,02/02/2021,17230202101871,EJECUCION DE HIPOTECA,folder_open
43,22/01/2021,09332202100901,DOCUMENTOS PRIVADOS LEGALMENTE RECONOCIDOS O RECONOCIDOS POR DECISIÓN JUDICIAL,folder_open
44,20/01/2021,09332202100771,PAGO DE DINERO,folder_open
45,20/01/2021,09332202100770,PAGO DE DINERO,folder_open
46,20/01/2021,09332202100763,PAGO DE DINERO,folder_open
47,20/01/2021,09332202100761,PAGO DE DINERO,folder_open
48,15/01/2021,17751202100002,CONTRA ORDENANZAS,folder_open
49,02/12/2020,09501202000381,CONTRA RESOLUCIONES,folder_open
50,26/11/2020,09332202010532,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
51,29/10/2020,09901202000042,MEDIDA CAUTELAR,folder_open
52,17/09/2020,17811202000860,SUBJETIVO,folder_open
53,18/08/2020,09332202005918,PRESCRIPCIÓN ADQUISITIVA DE DOMINIO,folder_open
54,03/07/2020,17510202000140,CONTRA NEGATIVA DE LO DEBIDAMENTE PAGADO,folder_open
55,20/02/2020,09332202001931,EJECUCIÓN DE ACTA DE TRANSACCIÓN,folder_open
56,17/01/2020,09501202000031,PAGO INDEBIDO,folder_open
57,17/01/2020,09332202000586,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
58,16/12/2019,09332201915639,CONCURSO DE ACREEDORES,folder_open
59,16/12/2019,09332201915638,CONCURSO DE ACREEDORES,folder_open
60,19/11/2019,09332201914321,ACCIÓN DE PROTECCIÓN CON MEDIDA CAUTELAR,folder_open
61,18/10/2019,09332201912957,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
62,04/10/2019,09281201904660,ACCIÓN DE PROTECCIÓN,folder_open
63,03/09/2019,09332201910801,CONCURSO DE ACREEDORES,folder_open
64,19/08/2019,09332201909786,"COBRO DE FACTURAS POR BIENES Y SERVICIOS, HONORARIOS PROFESIONALES CUANDO LA PRETENSIÓN NO SEA EXIGIBLE EN PROCEDIMIENTO MONITORIO O EN VIA EJECUTIVA",folder_open
65,30/07/2019,09501201900264,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
66,09/07/2019,09501201900230,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
67,06/06/2019,09332201906816,CONCURSO DE ACREEDORES,folder_open
68,30/05/2019,09501201900175,TRÁMITE PENDIENTE DE RESOLUCIÓN DE RECLAMO O RECURSO,folder_open
69,22/05/2019,09332201906278,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
